City#,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ukholovo,53.79,40.49,13.89,29,100,6.69,RU,1601324262
1,Albert Lea,43.65,-93.37,12.22,93,90,3.6,US,1601324263
2,Butaritari,3.07,172.79,27.84,71,77,6.71,KI,1601324111
3,Ukholovo,53.79,40.49,13.89,29,100,6.69,RU,1601324376
4,Albert Lea,43.65,-93.37,12.22,93,90,3.6,US,1601324263
5,Butaritari,3.07,172.79,27.84,71,77,6.71,KI,1601324111
6,Laas,46.62,10.7,5.0,86,40,2.6,IT,1601324377
7,Nanortalik,60.14,-45.24,2.21,77,0,6.27,GL,1601324377
8,Kapaa,22.08,-159.32,28.0,78,40,5.1,US,1601324173
9,Dikson,73.51,80.55,3.35,95,100,12.05,RU,1601324378
10,Hilo,19.73,-155.09,28.0,65,40,2.6,US,1601324175
11,Lakatoro,-16.1,167.42,25.0,78,40,3.35,VU,1601324379
